,nombre_municipio,porcentaje_vegetacion
0,Paterna de Rivera,5.363449725692009
1,Olvera,29.47635663428193
2,El Puerto de Santa María,20.408788724751805
3,Prado del Rey,35.411484297096095
4,Jimena de la Frontera,72.84840305040632
5,Jerez de la Frontera,
6,Medina Sidonia,29.40465057232831
7,La Línea de la Concepción,29.787493048984132
8,Puerto Serrano,36.62428976430408
9,Puerto Real,17.385390399177115
10,Algar,32.82276972954399
11,Alcalá del Valle,28.339234737066477
12,Alcalá de los Gazules,48.06649410848081
13,Barbate,41.73172930092083
14,Arcos de la Frontera,18.216208879274895
15,Algodonales,39.673410396810574
16,Algeciras,58.239219696071665
17,Benaocaz,50.56865812174792
18,Los Barrios,71.30255980076696
19,Zahara,50.06885309338257
20,Villamartín,17.054076223467764
21,Villaluenga del Rosario,38.13854587708349
22,Torre Alháquime,26.342287924276363
23,Trebujena,2.4876610248822053
24,Setenil de las Bodegas,27.966089176492815
25,Tarifa,42.3217415554463
26,Sanlúcar de Barrameda,9.772872187688494
27,San Roque,50.952975894391514
28,Rota,24.451180910764066
29,San Fernando,5.132761284535752
30,Ubrique,58.518559190779094
31,Vejer de la Frontera,24.546503551720253
32,San José del Valle,36.866408123083474
33,Benalup-Casas Viejas,31.903304940404308
34,El Gastor,26.762307155330316
35,Grazalema,62.0072701036397
36,Conil de la Frontera,25.156435324492872
37,Chiclana de la Frontera,20.675624799035162
38,Chipiona,16.918139521307378
39,Espera,6.781043919883032
40,Bornos,15.74166610992194
41,El Bosque,43.90126803790851
42,Cádiz,5.514721358400488
43,Castellar de la Frontera,79.03196889754969
44,San Martín del Tesorillo,39.841694583887865
